GENE_ID	A498	A549	ACHN	BT549	CAKI1	COLO205	DU145	EKVX	HCT116	HCT15	HL60	HOP62	HOP92	HS578T	HT29	IGROV1	K562	KM12	LOXIMVI	MCF7	MDAMB435	NCIH226	NCIH322T	NCIH460	NCIH522	OVCAR4	OVCAR5	OVCAR8	PC3	RPMI8226	SF268	SF539	SKMEL2	SKMEL28	SKMEL5	SKOV3	SR	SW620	T47D	TK10	UACC257	X786O
ENSG00000107104	230370	63049	614580	0	103370	617790	82161	0	10877	41613	146660	2574.5	460650	0	111800	96501	8461.2	19794	0	29462	36212	27312	40198	218870	71906	184770	1703100	229860	20175	54074	49640	82430	3692.2	0	13939	613840	41982	26514	0	287430	387830	4169
ENSG00000107130	1085100	601170	433610	1350600	356270	32204	837350	73973	46716	102740	168930	61487	912840	288040	59724	58343	688270	145950	778150	534300	564220	712090	12074	1783300	226280	1065400	69997	790790	676990	339490	853070	658330	176460	16466	1312500	977960	934030	705200	328840	526700	203740	0
ENSG00000107140	0	10363	0	0	0	0	5317	0	0	0	0	0	7127.8	0	0	0	0	0	18215	67019	0	0	0	0	0	0	12442	14002	0	0	20452	0	0	0	0	11721	18449	0	56099	0	0	0
ENSG00000107159	547700	94958	21372	44150	12544	2361800	374600	0	7927.8	16545	79447	0	2338900	46445	1235900	4331	116290	168150	0	186700	0	0	582840	0	93930	521530	158700	34548	25965	332780	0	871310	136820	0	91944	37209	141500	1449100	0	213020	123520	269020
ENSG00000107164	2381400	2892900	1477500	1175000	2615000	19092000	2620800	299380	1196600	1341700	2050400	356920	5444500	997680	2807000	838280	2424300	2031800	488420	15786000	505670	3417300	248630	4595500	2045500	3698400	525120	4184600	3484600	2100500	2176300	2490900	916650	174670	4330300	1853000	2269000	5274100	1021500	2735900	5020500	156330
ENSG00000107165	35745	16346	82456	9361.1	75807	1109600	115070	0	0	9223.2	535660	13166	247960	159380	35814	15021	0	89993	40755	23527	145740	95170	0	104000	92276	22129	93320	43027	12882	69184	131650	80651	0	2184.3	3234900	67378	7834800	158030	48464	7726	25470000	17994
ENSG00000107186	0	36950	72291	39735	11098	1012.2	18050	0	15734	12169	16545	0	58694	0	656.13	21612	18782	0	4194.4	9431.5	0	18784	11828	9968.1	0	0	24737	29794	1945.5	24909	0	92541	54764	0	4943.7	0	0	0	0	13783	86034	6757.9
ENSG00000107201	100570	23253	35969	201140	74168	973460	72263	5795.7	8810.2	35717	16683	0	50367	3708.5	161990	28293	7397.8	9485.7	13261	118850	13498	253680	7584	152870	9282.4	156090	69658	21538	64801	95372	200470	463430	14427	355.64	50756	24272	109570	59047	37918	6763.8	14369	21675
ENSG00000107223	5156900	7181500	2677100	8919100	2437900	61226000	13932000	190750	3108900	4084900	26084000	372420	10506000	2284800	7774200	722480	8760200	5072500	5300600	15615000	6296900	2742600	3426600	11158000	3953400	11732000	3698700	18675000	9298700	15839000	7702800	3190200	962100	251000	6820400	8905200	9359300	4318900	11454000	6131400	6556500	69978
ENSG00000107242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
